text,diagnostic_category,severity_level,urgency_level
Patient reports knee injury,Respiratory,3,2
Patient reports earache and discharge,Rheumatologic,2,1
Patient reports chest pain and shortness of breath,Neurological,3,3
Patient reports burn on hand,Injury,2,2
Patient reports knee injury,Urology,5,1
Patient reports joint pain in knees,Neurological,4,3
Patient reports rash on torso,Endocrinological,1,3
Patient reports nosebleed,Neurological,1,3
Patient reports blood in stool,Urology,4,3
Patient reports minor laceration on arm,Emergency,3,3
Patient reports muscle cramps,Respiratory,3,1
Patient reports insomnia,Cardiovascular,1,2
Patient reports back pain,Dermatological,4,3
Patient reports swelling in ankles,Ophthalmology,4,1
Patient reports irregular heartbeat,Ophthalmology,5,3
Patient reports urinary frequency and burning,Psychiatric,4,2
Patient reports skin infection,Psychiatric,5,3
Patient reports headache and mild fever,Rheumatologic,2,2
Patient reports heart palpitations,Cardiovascular,3,2
Patient reports joint pain in knees,Rheumatologic,1,2
Patient reports weight loss and fatigue,Rheumatologic,1,3
Patient reports nausea and vomiting,Respiratory,4,1
Patient reports confused speech,Endocrinological,1,2
Patient reports rash on torso,Dermatological,3,1
Patient reports joint pain in knees,Emergency,3,3
Patient reports nausea and vomiting,Respiratory,5,1
Patient reports rash on torso,Endocrinological,5,3
Patient reports swelling in ankles,Urology,5,3
Patient reports nausea and vomiting,Respiratory,5,3
Patient reports blurry vision,Neurological,1,1
Patient reports confused speech,Endocrinological,2,3
Patient reports burn on hand,Emergency,5,3
Patient reports skin infection,Endocrinological,5,1
Patient reports swelling in ankles,Gastrointestinal,3,3
Patient reports memory loss,Respiratory,2,1
Patient reports seizure episode,Ophthalmology,2,1
Patient reports sudden vision loss,Urology,4,3
Patient reports knee injury,Ophthalmology,3,3
Patient reports panic attacks,Ophthalmology,2,2
Patient reports sudden vision loss,Rheumatologic,3,1
Patient reports nosebleed,Urology,5,3
Patient reports muscle cramps,Ophthalmology,4,1
Patient reports irregular heartbeat,Emergency,1,3
Patient reports nosebleed,Neurological,3,2
Patient reports muscle cramps,Emergency,2,3
Patient reports burn on hand,ENT,3,1
Patient reports minor laceration on arm,ENT,1,2
Patient reports minor laceration on arm,Neurological,5,3
Patient reports panic attacks,Respiratory,5,3
Patient reports persistent cough,Rheumatologic,5,3
Patient reports seizure episode,Ophthalmology,3,3
Patient reports skin infection,Cardiovascular,3,2
Patient reports irregular heartbeat,Ophthalmology,4,2
Patient reports irregular heartbeat,Rheumatologic,1,3
Patient reports panic attacks,Ophthalmology,5,2
Patient reports dizziness upon standing,Dermatological,4,1
Patient reports sudden vision loss,Injury,4,1
Patient reports rash on torso,Injury,4,2
Patient reports urinary frequency and burning,Endocrinological,2,1
Patient reports muscle cramps,Psychiatric,3,2
Patient reports frequent migraines,Neurological,3,1
Patient reports persistent cough,ENT,1,2
Patient reports blurry vision,Respiratory,3,1
Patient reports loss of consciousness,Injury,5,3
Patient reports skin infection,Emergency,2,3
Patient reports urinary frequency and burning,Dermatological,4,3
Patient reports confused speech,Respiratory,4,1
Patient reports knee injury,ENT,2,1
Patient reports nausea and vomiting,Neurological,4,1
Patient reports severe abdominal pain,Emergency,4,1
Patient reports weight loss and fatigue,Cardiovascular,3,1
Patient reports frequent migraines,Cardiovascular,5,2
Patient reports knee injury,Ophthalmology,2,3
Patient reports severe abdominal pain,ENT,5,2
Patient reports memory loss,Neurological,2,3
Patient reports severe abdominal pain,Respiratory,1,2
Patient reports blood in stool,Urology,3,3
Patient reports frequent migraines,Psychiatric,5,2
Patient reports burn on hand,Dermatological,2,1
Patient reports confused speech,Dermatological,2,2
Patient reports seizure episode,Rheumatologic,4,2
Patient reports back pain,Cardiovascular,1,1
Patient reports heart palpitations,Urology,2,1
Patient reports minor laceration on arm,Neurological,1,1
Patient reports memory loss,Urology,4,1
Patient reports skin infection,Cardiovascular,4,2
Patient reports muscle cramps,Gastrointestinal,4,1
Patient reports skin infection,ENT,4,3
Patient reports skin infection,Emergency,2,2
Patient reports blood in stool,Gastrointestinal,1,2
Patient reports chest pain and shortness of breath,Endocrinological,5,1
Patient reports joint pain in knees,ENT,5,2
Patient reports muscle cramps,Psychiatric,1,3
Patient reports muscle cramps,Injury,1,2
Patient reports loss of consciousness,Cardiovascular,5,3
Patient reports blurry vision,Ophthalmology,5,3
Patient reports confused speech,Gastrointestinal,1,2
Patient reports persistent cough,Respiratory,1,3
Patient reports minor laceration on arm,Rheumatologic,1,3
Patient reports heart palpitations,Urology,2,1
Patient reports frequent migraines,Gastrointestinal,2,1
Patient reports severe abdominal pain,Ophthalmology,2,2
Patient reports confused speech,ENT,3,1
Patient reports blurry vision,Psychiatric,5,3
Patient reports memory loss,Ophthalmology,5,2
Patient reports rash on torso,Neurological,3,2
Patient reports urinary frequency and burning,Emergency,5,3
Patient reports weight loss and fatigue,Gastrointestinal,4,2
Patient reports earache and discharge,Rheumatologic,1,2
Patient reports confused speech,Psychiatric,1,2
Patient reports back pain,Dermatological,3,1
Patient reports sudden vision loss,ENT,5,3
Patient reports seizure episode,Urology,3,3
Patient reports urinary frequency and burning,Cardiovascular,3,3
Patient reports earache and discharge,Injury,5,3
Patient reports persistent cough,ENT,5,2
Patient reports skin infection,Ophthalmology,4,1
Patient reports confused speech,Endocrinological,2,1
Patient reports headache and mild fever,Dermatological,3,3
Patient reports severe abdominal pain,Neurological,3,2
Patient reports panic attacks,Emergency,3,3
Patient reports shallow breathing,Gastrointestinal,5,3
Patient reports high blood sugar,Injury,2,3
Patient reports minor laceration on arm,Dermatological,5,1
Patient reports irregular heartbeat,Gastrointestinal,5,1
Patient reports rash on torso,Emergency,1,3
Patient reports memory loss,Injury,2,1
Patient reports shallow breathing,Rheumatologic,5,3
Patient reports nausea and vomiting,Neurological,4,2
Patient reports swelling in ankles,Emergency,5,1
Patient reports nosebleed,Ophthalmology,2,3
Patient reports memory loss,Injury,4,3
Patient reports insomnia,Cardiovascular,3,1
Patient reports rash on torso,Emergency,4,2
Patient reports high blood sugar,Gastrointestinal,5,1
Patient reports knee injury,Endocrinological,1,3
Patient reports blurry vision,Neurological,1,1
Patient reports muscle cramps,Ophthalmology,1,3
Patient reports rash on torso,Rheumatologic,2,1
Patient reports nausea and vomiting,Neurological,2,3
Patient reports earache and discharge,Endocrinological,2,1
Patient reports weight loss and fatigue,Dermatological,1,1
Patient reports persistent cough,Rheumatologic,4,2
Patient reports headache and mild fever,Dermatological,2,3
Patient reports frequent migraines,Urology,4,3
Patient reports knee injury,Respiratory,2,2
Patient reports irregular heartbeat,Dermatological,3,1
Patient reports panic attacks,Injury,5,1
Patient reports weight loss and fatigue,Endocrinological,2,2
Patient reports loss of consciousness,Injury,2,3
Patient reports headache and mild fever,Cardiovascular,1,1
Patient reports panic attacks,Emergency,4,1
Patient reports persistent cough,ENT,3,1
Patient reports rash on torso,Cardiovascular,1,2
Patient reports earache and discharge,Injury,3,3
Patient reports blood in stool,Cardiovascular,5,3
Patient reports irregular heartbeat,Ophthalmology,4,3
Patient reports dizziness upon standing,Psychiatric,3,1
Patient reports blurry vision,Respiratory,2,2
Patient reports persistent cough,Emergency,3,1
Patient reports confused speech,Ophthalmology,3,2
Patient reports minor laceration on arm,Emergency,3,2
Patient reports blood in stool,Emergency,2,1
Patient reports severe abdominal pain,Dermatological,5,1
Patient reports skin infection,Gastrointestinal,5,1
Patient reports dizziness upon standing,Gastrointestinal,1,2
Patient reports weight loss and fatigue,Gastrointestinal,4,3
Patient reports rash on torso,Ophthalmology,4,2
Patient reports severe abdominal pain,ENT,1,1
Patient reports skin infection,Rheumatologic,3,2
Patient reports insomnia,Neurological,3,3
Patient reports knee injury,Gastrointestinal,2,2
Patient reports burn on hand,Psychiatric,2,3
Patient reports back pain,Endocrinological,3,2
Patient reports persistent cough,Urology,3,3
Patient reports rash on torso,Respiratory,1,3
Patient reports seizure episode,Psychiatric,4,3
Patient reports nausea and vomiting,Ophthalmology,3,2
Patient reports persistent cough,Dermatological,2,3
Patient reports joint pain in knees,Injury,1,1
Patient reports muscle cramps,Endocrinological,4,1
Patient reports burn on hand,Urology,5,2
Patient reports earache and discharge,Rheumatologic,4,2
Patient reports memory loss,Endocrinological,2,2
Patient reports severe abdominal pain,Injury,5,1
Patient reports memory loss,Respiratory,5,2
Patient reports weight loss and fatigue,Neurological,1,3
Patient reports allergic reaction,Dermatological,4,2
Patient reports headache and mild fever,Ophthalmology,4,1
Patient reports loss of consciousness,Neurological,4,2
Patient reports persistent cough,Urology,4,1
Patient reports urinary frequency and burning,Dermatological,4,2
Patient reports memory loss,Urology,2,1
Patient reports memory loss,Ophthalmology,4,2
Patient reports urinary frequency and burning,Dermatological,1,2
Patient reports swelling in ankles,Emergency,1,3
Patient reports rash on torso,Rheumatologic,3,1
Patient reports blurry vision,Rheumatologic,1,2
Patient reports urinary frequency and burning,Endocrinological,3,3
Patient reports headache and mild fever,ENT,3,3
Patient reports knee injury,Cardiovascular,4,1
Patient reports knee injury,Emergency,4,2
Patient reports sudden vision loss,Endocrinological,3,1
Patient reports severe abdominal pain,ENT,3,3
Patient reports sudden vision loss,ENT,4,3
Patient reports rash on torso,Injury,2,3
Patient reports blurry vision,Endocrinological,2,1
Patient reports weight loss and fatigue,Gastrointestinal,2,1
Patient reports insomnia,Urology,3,1
Patient reports joint pain in knees,Psychiatric,5,1
Patient reports headache and mild fever,Dermatological,3,3
Patient reports muscle cramps,Emergency,1,1
Patient reports joint pain in knees,ENT,1,1
Patient reports high blood sugar,Respiratory,5,2
Patient reports blood in stool,Ophthalmology,5,2
Patient reports panic attacks,Urology,5,3
Patient reports weight loss and fatigue,Rheumatologic,3,3
Patient reports knee injury,Psychiatric,3,1
Patient reports earache and discharge,Cardiovascular,5,3
Patient reports sudden vision loss,Psychiatric,1,2
Patient reports back pain,Psychiatric,1,2
Patient reports headache and mild fever,Dermatological,1,3
Patient reports chest pain and shortness of breath,Emergency,1,3
Patient reports knee injury,ENT,4,2
Patient reports insomnia,Injury,2,2
Patient reports earache and discharge,Injury,2,1
Patient reports irregular heartbeat,Gastrointestinal,5,1
Patient reports seizure episode,Injury,4,1
Patient reports dizziness upon standing,Endocrinological,3,1
Patient reports frequent migraines,Psychiatric,1,2
Patient reports blurry vision,Urology,3,1
Patient reports weight loss and fatigue,ENT,4,2
Patient reports nausea and vomiting,Urology,2,3
Patient reports muscle cramps,Rheumatologic,3,1
Patient reports nausea and vomiting,Gastrointestinal,1,3
Patient reports back pain,Ophthalmology,3,1
Patient reports chest pain and shortness of breath,Dermatological,3,1
Patient reports shallow breathing,ENT,4,3
Patient reports frequent migraines,Respiratory,5,2
Patient reports shallow breathing,Dermatological,5,2
Patient reports frequent migraines,ENT,3,2
Patient reports heart palpitations,Endocrinological,3,2
Patient reports frequent migraines,Injury,4,2
Patient reports confused speech,Injury,3,1
Patient reports swelling in ankles,Psychiatric,2,3
Patient reports loss of consciousness,Cardiovascular,3,3
Patient reports knee injury,Injury,4,2
Patient reports urinary frequency and burning,Psychiatric,4,2
Patient reports severe abdominal pain,Dermatological,5,1
Patient reports frequent migraines,Emergency,1,1
Patient reports persistent cough,Endocrinological,5,2
Patient reports allergic reaction,Cardiovascular,5,2
Patient reports severe abdominal pain,Gastrointestinal,4,2
Patient reports panic attacks,Emergency,2,2
Patient reports persistent cough,Ophthalmology,3,3
Patient reports nausea and vomiting,ENT,4,3
Patient reports memory loss,Cardiovascular,3,2
Patient reports insomnia,Urology,2,1
Patient reports allergic reaction,Emergency,4,1
Patient reports blurry vision,Psychiatric,1,3
Patient reports minor laceration on arm,Psychiatric,5,2
Patient reports loss of consciousness,Emergency,2,2
Patient reports shallow breathing,Ophthalmology,1,3
Patient reports irregular heartbeat,Respiratory,3,2
Patient reports allergic reaction,Urology,3,1
Patient reports rash on torso,Emergency,2,1
Patient reports sudden vision loss,Psychiatric,4,1
Patient reports severe abdominal pain,Respiratory,4,3
Patient reports earache and discharge,Endocrinological,3,2
Patient reports persistent cough,Dermatological,4,3
Patient reports headache and mild fever,Ophthalmology,2,3
Patient reports dizziness upon standing,ENT,2,1
Patient reports blurry vision,ENT,5,2
Patient reports rash on torso,Emergency,1,1
Patient reports sudden vision loss,Rheumatologic,3,2
Patient reports seizure episode,Ophthalmology,4,2
Patient reports allergic reaction,Cardiovascular,3,2
Patient reports heart palpitations,Psychiatric,5,1
Patient reports loss of consciousness,Ophthalmology,2,2
Patient reports earache and discharge,Ophthalmology,4,2
Patient reports frequent migraines,Endocrinological,5,1
Patient reports minor laceration on arm,Gastrointestinal,1,3
Patient reports joint pain in knees,Neurological,2,1
Patient reports sudden vision loss,Urology,3,2
Patient reports confused speech,Emergency,1,1
Patient reports sudden vision loss,Respiratory,2,3
Patient reports severe abdominal pain,ENT,1,2
Patient reports memory loss,Ophthalmology,5,1
Patient reports confused speech,Respiratory,3,2
Patient reports loss of consciousness,Rheumatologic,3,3
Patient reports high blood sugar,ENT,2,1
Patient reports severe abdominal pain,Rheumatologic,3,1
Patient reports knee injury,Emergency,2,1
Patient reports rash on torso,Rheumatologic,2,2
Patient reports dizziness upon standing,Ophthalmology,5,2
Patient reports weight loss and fatigue,Rheumatologic,2,1
Patient reports persistent cough,Emergency,1,3
Patient reports blood in stool,Cardiovascular,5,3
Patient reports severe abdominal pain,Psychiatric,3,1
Patient reports burn on hand,Injury,5,3
Patient reports shallow breathing,Cardiovascular,3,3
Patient reports sudden vision loss,Cardiovascular,3,2
Patient reports knee injury,Endocrinological,4,1
Patient reports urinary frequency and burning,Respiratory,4,2
Patient reports loss of consciousness,Cardiovascular,2,2
Patient reports blurry vision,ENT,5,1
Patient reports skin infection,Dermatological,4,3
Patient reports severe abdominal pain,Endocrinological,3,2
Patient reports seizure episode,Dermatological,2,1
Patient reports heart palpitations,ENT,4,1
Patient reports allergic reaction,Endocrinological,5,3
Patient reports memory loss,Urology,3,3
Patient reports severe abdominal pain,Cardiovascular,2,2
Patient reports swelling in ankles,ENT,1,2
Patient reports skin infection,Rheumatologic,3,3
Patient reports back pain,Endocrinological,3,3
Patient reports memory loss,Gastrointestinal,4,3
Patient reports severe abdominal pain,Rheumatologic,5,1
Patient reports weight loss and fatigue,Endocrinological,4,2
Patient reports minor laceration on arm,ENT,5,1
Patient reports shallow breathing,Ophthalmology,5,2
Patient reports allergic reaction,ENT,1,1
Patient reports shallow breathing,Cardiovascular,2,1
Patient reports loss of consciousness,Psychiatric,3,3
Patient reports confused speech,Rheumatologic,1,3
Patient reports shallow breathing,Ophthalmology,4,1
Patient reports loss of consciousness,Emergency,5,2
Patient reports knee injury,Dermatological,2,3
Patient reports muscle cramps,Injury,2,2
Patient reports insomnia,Psychiatric,3,2
Patient reports insomnia,Emergency,5,1
Patient reports blood in stool,Urology,1,3
Patient reports confused speech,Cardiovascular,3,1
Patient reports muscle cramps,Urology,3,3
Patient reports earache and discharge,Rheumatologic,5,2
Patient reports swelling in ankles,Gastrointestinal,2,3
Patient reports chest pain and shortness of breath,Neurological,5,3
Patient reports memory loss,Emergency,2,3
Patient reports joint pain in knees,Emergency,4,2
Patient reports burn on hand,Emergency,3,2
Patient reports skin infection,Injury,2,2
Patient reports rash on torso,Urology,3,3
Patient reports frequent migraines,Dermatological,4,1
Patient reports muscle cramps,Gastrointestinal,3,2
Patient reports heart palpitations,Neurological,3,3
Patient reports dizziness upon standing,Respiratory,3,2
Patient reports nausea and vomiting,Neurological,3,2
Patient reports headache and mild fever,Psychiatric,3,1
Patient reports rash on torso,Ophthalmology,2,2
Patient reports swelling in ankles,Rheumatologic,1,1
Patient reports knee injury,Injury,1,3
Patient reports swelling in ankles,ENT,3,3
Patient reports muscle cramps,Dermatological,4,2
Patient reports high blood sugar,Ophthalmology,5,2
Patient reports blurry vision,Respiratory,4,3
Patient reports skin infection,Dermatological,4,1
Patient reports chest pain and shortness of breath,Urology,2,2
Patient reports burn on hand,Neurological,3,2
Patient reports panic attacks,Dermatological,5,1
Patient reports memory loss,ENT,4,2
Patient reports weight loss and fatigue,Injury,1,2
Patient reports minor laceration on arm,Endocrinological,5,3
Patient reports memory loss,Cardiovascular,2,2
Patient reports headache and mild fever,Urology,3,1
Patient reports heart palpitations,Dermatological,5,2
Patient reports confused speech,Emergency,1,2
Patient reports shallow breathing,Urology,5,1
Patient reports sudden vision loss,Gastrointestinal,5,3
Patient reports minor laceration on arm,Dermatological,1,2
Patient reports blood in stool,Emergency,4,2
Patient reports rash on torso,Neurological,4,1
Patient reports high blood sugar,Injury,2,1
Patient reports skin infection,Cardiovascular,4,1
Patient reports allergic reaction,Rheumatologic,3,1
Patient reports chest pain and shortness of breath,Injury,3,3
Patient reports seizure episode,Neurological,4,3
Patient reports loss of consciousness,Urology,3,2
Patient reports urinary frequency and burning,Rheumatologic,2,3
Patient reports heart palpitations,Injury,1,1
Patient reports skin infection,Injury,4,3
